,Open,High,Low,Close,Volume,Adj. Close,Date Time
2022-04-09 02:49:00,42304.2421875,42304.2421875,42304.2421875,42304.2421875,24406016,42304.2421875,2022-04-09 02:49:00
2022-04-09 02:50:00,42298.234375,42298.234375,42298.234375,42298.234375,0,42298.234375,2022-04-09 02:50:00
2022-04-09 02:51:00,42294.53515625,42294.53515625,42294.53515625,42294.53515625,0,42294.53515625,2022-04-09 02:51:00
2022-04-09 02:52:00,42290.796875,42290.796875,42290.796875,42290.796875,0,42290.796875,2022-04-09 02:52:00
2022-04-09 02:54:00,42274.21484375,42274.21484375,42274.21484375,42274.21484375,0,42274.21484375,2022-04-09 02:54:00
2022-04-09 02:55:00,42250.16015625,42250.16015625,42250.16015625,42250.16015625,3301376,42250.16015625,2022-04-09 02:55:00
2022-04-09 02:56:00,42243.12109375,42243.12109375,42243.12109375,42243.12109375,0,42243.12109375,2022-04-09 02:56:00
2022-04-09 02:58:00,42237.50390625,42237.50390625,42237.50390625,42237.50390625,22626304,42237.50390625,2022-04-09 02:58:00
2022-04-09 02:59:00,42225.06640625,42225.06640625,42225.06640625,42225.06640625,0,42225.06640625,2022-04-09 02:59:00
2022-04-09 03:01:00,42217.3828125,42217.3828125,42217.3828125,42217.3828125,12066816,42217.3828125,2022-04-09 03:01:00
2022-04-09 03:02:00,42236.1796875,42236.1796875,42236.1796875,42236.1796875,0,42236.1796875,2022-04-09 03:02:00
2022-04-09 03:04:00,42235.921875,42235.921875,42235.921875,42235.921875,0,42235.921875,2022-04-09 03:04:00
2022-04-09 03:07:00,42183.25390625,42183.25390625,42183.25390625,42183.25390625,0,42183.25390625,2022-04-09 03:07:00
2022-04-09 03:08:00,42188.8671875,42188.8671875,42188.8671875,42188.8671875,7710720,42188.8671875,2022-04-09 03:08:00
2022-04-09 03:10:00,42202.328125,42202.328125,42202.328125,42202.328125,11296768,42202.328125,2022-04-09 03:10:00
2022-04-09 03:11:00,42211.10546875,42211.10546875,42211.10546875,42211.10546875,4630528,42211.10546875,2022-04-09 03:11:00
2022-04-09 03:13:00,42321.66015625,42321.66015625,42321.66015625,42321.66015625,90281984,42321.66015625,2022-04-09 03:13:00
2022-04-09 03:14:00,42333.125,42333.125,42333.125,42333.125,11900928,42333.125,2022-04-09 03:14:00
2022-04-09 03:16:00,42367.56640625,42367.56640625,42367.56640625,42367.56640625,50894848,42367.56640625,2022-04-09 03:16:00
2022-04-09 03:17:00,42365.640625,42365.640625,42365.640625,42365.640625,1167360,42365.640625,2022-04-09 03:17:00
2022-04-09 03:19:00,42340.91015625,42340.91015625,42340.91015625,42340.91015625,70502400,42340.91015625,2022-04-09 03:19:00
2022-04-09 03:20:00,42329.40625,42329.40625,42329.40625,42329.40625,0,42329.40625,2022-04-09 03:20:00
2022-04-09 03:21:00,42334.3828125,42334.3828125,42334.3828125,42334.3828125,7331840,42334.3828125,2022-04-09 03:21:00
2022-04-09 03:22:00,42335.3984375,42335.3984375,42335.3984375,42335.3984375,23930880,42335.3984375,2022-04-09 03:22:00
